600062,华润双鹤,0.91,0.95,1.52,1.07,0.93,"66,106","54,191","87,069","61,441","52,900","513,840","428,096","683,457","698,932","638,338","643,391","568,437","533,623","470,673","434,330","132,920","93,493","114,469","180,104","173,367",22.81,20.26,22.37,22.7,15.6,22.23
600063,皖维高新,0.07,0.12,0.01,-0.1,0.14,"10,923","17,982","2,030","-15,624","12,888","348,464","412,609","357,306","287,915","313,777","366,946","368,950","255,244","257,307","262,224","377,416","360,287","366,686","345,997","276,003",6.75,4.7,2.07,2.65,4.04,4.63
600064,南京高科,1.1,1.18,0.83,0.74,0.71,"84,820","60,978","43,047","38,381","36,491","388,224","328,560","352,897","217,821","243,121","947,476","870,451","538,742","558,457","505,233","1,317,279","1,166,254","1,017,450","1,076,383","991,379",18.95,17.99,11.02,12.17,9.03,16.75
600066,宇通客车,1.6,1.77,1.43,2.31,2.27,"353,522","261,262","182,258","154,972","118,141","3,121,087","2,572,830","2,209,383","1,976,346","1,693,193","1,293,939","1,086,057","875,714","731,956","333,776","1,719,975","1,296,293","744,043","695,955","452,231",22.49,22.33,17.56,25.2,23.66,19.59
600067,冠城大通,0.15,0.63,1.08,0.71,1.08,"21,245","75,107","127,778","83,084","79,581","740,221","756,421","822,548","625,627","932,006","872,963","705,609","608,675","503,110","353,537","1,115,946","1,273,676","963,101","976,391","582,927",8.74,8.1,6.47,6.56,6.09,7.16
600068,葛洲坝,0.58,0.53,0.45,0.45,0.45,"268,305","228,699","158,474","156,251","155,032","8,227,493","7,160,539","5,952,756","5,353,690","4,653,990","2,810,082","2,631,675","1,783,234","1,640,389","1,411,355","9,952,895","7,858,351","6,799,238","6,000,421","5,220,216",7.87,9.33,3.96,5.49,7.7,9.19
600069,银鸽投资,0.05,-0.84,-0.34,0.02,-0.26,"4,678","-69,649","-27,865","1,650","-21,581","282,024","300,524","351,496","339,259","362,861","240,131","88,733","163,129","183,306","182,299","267,421","467,646","446,000","459,048","380,313",5.25,4.72,4.09,5.22,6.06,13.29
600071,凤凰光学,0.08,-0.42,-0.12,0.03,0.02,"1,984","-10,081","-2,823",623,461,"80,323","89,097","69,778","136,014","148,334","62,577","62,991","74,697","79,105","80,992","46,141","44,494","18,537","21,960","33,624",25.85,12.7,5.93,6.09,7.06,23.8
600072,中船科技,0.05,0.02,-0.38,-0.16,0.08,"2,246","1,033","-18,235","-7,605","3,821","91,359","97,974","92,115","104,154","150,312","121,917","119,996","120,248","138,189","149,976","97,293","119,381","94,451","103,308","89,419",19.57,11.08,12.23,13.9,15.45,17.34
600073,上海梅林,0.17,0.16,0.19,0.19,0.42,"16,350","13,275","15,532","14,011","14,978","1,223,345","1,059,081","1,037,648","785,228","573,410","358,432","332,518","225,445","206,681","196,349","410,544","326,155","330,492","319,027","228,631",14.15,9.38,8.78,6.42,8.46,11.45
600075,新疆天业,0.09,0.09,-0.49,-0.16,0.22,"4,112","3,897","-21,567","-7,131","9,587","227,504","427,004","394,111","405,004","362,060","205,087","201,982","197,890","219,945","228,874","146,015","164,848","252,364","228,389","218,218",10.71,6.51,6.42,6.7,8.73,12.44
600076,康欣新材,0.45,-0.03,0.14,0.1,-0.06,"26,941","-1,115","5,209","3,777","-2,134","103,085","1,725","1,367","1,279",830,"254,053","24,752","26,242","21,512","17,783","112,193","53,627","29,591","18,735","16,093",10.34,5.27,4.64,3.38,3.65,9.39
600077,宋都股份,0.06,0.03,0.34,0.36,0.78,"7,754","3,709","36,820","38,731","32,406","347,349","232,303","279,129","306,259","263,727","393,409","388,438","273,057","310,548","306,727","983,390","980,069","859,410","758,671","774,079",7.27,5.68,4.37,6,7.85,5.46
600078,澄星股份,0.03,0.03,0.04,0.04,0.08,"1,793","2,225","2,362","2,755","5,044","238,773","259,556","246,019","266,149","254,196","199,835","194,593","190,005","186,160","185,506","438,804","317,540","298,268","394,255","498,554",7.9,6.83,5.81,8.47,6.93,7.14
600079,人福医药,0.52,0.85,0.83,0.82,0.62,"65,382","45,177","41,778","40,599","30,035","1,005,398","705,163","601,021","531,709","362,144","918,197","572,780","508,035","364,962","313,896","896,984","643,934","462,666","421,164","303,140",22.26,25.65,28.35,23.39,19.27,19.95
600080,金花股份,0.08,0.1,0.15,0.15,0.54,"2,538","3,095","4,559","4,425","16,556","73,014","71,279","47,110","46,019","37,825","104,597","102,021","99,835","96,222","91,845","21,213","24,655","18,671","16,183","15,062",14.33,9.44,8.26,6.78,6.67,12.56
600081,东风科技,0.49,0.65,0.55,0.31,0.44,"15,315","20,294","17,110","9,690","13,752","482,493","490,161","308,270","244,882","258,454","153,164","144,567","110,165","90,939","85,149","277,153","279,762","153,512","94,206","118,980",22.46,13.58,8.55,6.5,6.6,15.05
